age	sex	compositeHourlyWages	yearsEducation
49	Male	24.14	10
58	Male	21.38	10
43	Female	13.19	10
39	Female	23.04	11
50	Female	19.2	12
35	Female	19.2	18
51	Male	14.83	10
37	Female	25.95	15
31	Male	18.57	13
58	Female	12.8	11
30	Female	18.43	20
25	Male	15.52	17
40	Male	21.6	10
27	Female	9.2	18
25	Female	8.7	19
41	Female	15.36	12
23	Male	10	16
32	Male	9	12
29	Male	7.97	10
31	Male	12.13	12
23	Male	7.06	15
40	Male	26.62	17
53	Female	20.77	13
30	Male	20.16	12
62	Male	14.4	11
18	Male	6.72	10
35	Male	16.46	9
25	Female	10	15
36	Male	27.36	16
61	Female	15.84	13
28	Female	7.24	19
22	Female	10	12
32	Male	11.36	9
21	Male	7.5	12
23	Female	9.32	12
51	Female	34.56	19
19	Male	6.5	11
24	Male	6.75	15
40	Female	10.5	12
38	Female	13.44	9
34	Male	14.7	12
32	Female	17.01	13
57	Male	30.46	11
31	Female	17	12
41	Female	49.92	20
53	Male	14	10
36	Male	45.38	18
28	Female	16.96	19
22	Female	6.85	9
52	Male	10.71	10
37	Female	10	14
30	Female	10	10
48	Male	19.93	15
50	Female	27.84	18
43	Female	10	14
44	Female	21.84	17
28	Male	27.14	17
35	Female	5.8	14
30	Female	7	12
39	Female	15.36	12
22	Female	6.63	13
56	Male	15.3	11
20	Male	4.88	12
18	Female	6.7	11
23	Male	22.22	9
30	Male	8	12
18	Female	6.4	10
38	Male	21.53	10
58	Female	16.32	10
30	Female	14.4	14
48	Male	20.68	10
23	Male	14	12
36	Female	12.1	14
32	Male	15.51	11
32	Male	16.86	13
33	Female	23.04	15
25	Male	14	17
51	Female	13.07	11
37	Female	16	13
35	Female	6.79	12
28	Female	9	13
38	Female	9	10
57	Male	20	13
22	Male	16	13
44	Male	27.31	17
57	Female	29.18	16
60	Male	6.9	10
23	Female	14.63	14
37	Female	15.78	13
37	Male	24.96	16
59	Female	21.06	15
34	Female	5.97	11
57	Male	25.72	8
28	Male	18.41	16
21	Female	7	15
38	Male	15.79	19
54	Female	10	8
18	Male	9.19	12
33	Male	19.2	12
49	Female	26.72	16
31	Female	10.26	13
29	Male	14.81	15
38	Female	7.5	12
31	Female	8.5	19
37	Male	16.5	12
25	Female	12.49	11
29	Male	10.47	11
39	Female	12	13
58	Female	10	10
48	Female	25.26	15
52	Female	30	11
34	Female	12	12
56	Female	6.75	13
18	Female	8.99	10
22	Female	3.41	16
37	Male	9.25	11
37	Male	17.49	16
39	Female	20.11	14
33	Female	9.25	8
32	Female	16.16	17
19	Female	6.78	12
48	Female	10	10
39	Male	9.5	10
54	Male	24.19	17
27	Male	23.25	12
32	Male	24.96	17
24	Male	13.37	12
32	Male	20.34	13
25	Female	7.85	13
35	Female	17.41	13
52	Female	12.85	12
27	Female	12	17
30	Male	17	12
43	Female	13	12
23	Female	7.63	12
34	Male	10.87	12
28	Male	22.75	14
55	Male	16	11
50	Female	8.5	13
56	Male	19.2	17
37	Male	24.48	17
24	Male	7.94	13
18	Male	10	13
34	Male	14.59	14
27	Male	17.9	16
26	Male	9	17
22	Male	11.44	17
36	Male	37.88	19
17	Male	6.75	10
22	Female	9.5	12
53	Female	19.5	19
33	Male	11.64	11
32	Male	23.52	12
45	Female	9.6	12
39	Male	15.42	12
37	Female	20.64	18
45	Female	14.84	12
26	Male	12.53	12
64	Male	15.5	11
31	Female	10.45	13
32	Male	15.16	17
37	Male	8.57	15
50	Female	10	12
44	Female	13.71	17
41	Male	13.44	15
44	Female	9.5	12
31	Male	11.04	14
30	Female	7.75	16
45	Female	10	10
31	Male	8.74	12
35	Male	25.64	19
27	Male	10.48	14
22	Female	9.86	15
31	Female	20.28	20
45	Female	10	13
25	Male	11.71	16
25	Female	6.55	12
31	Female	15	12
38	Male	20.33	13
47	Male	26.65	17
24	Female	11.52	12
34	Male	7.5	12
25	Male	19.72	19
40	Female	12.05	10
53	Female	10.24	13
49	Female	11.6	12
61	Female	10.22	17
54	Male	19.23	20
35	Female	9.74	13
19	Male	11.51	12
48	Female	6.8	13
40	Male	22.27	17
32	Male	17.07	12
52	Male	17	9
26	Male	8.5	17
47	Female	12	12
45	Male	22.19	12
16	Female	6.7	10
29	Female	7.5	14
33	Female	17	13
32	Female	10.12	12
37	Male	14.5	13
19	Female	6.5	15
54	Male	40.96	17
19	Female	6.7	12
57	Male	11	10
34	Female	23.04	18
21	Male	7.69	13
25	Male	10.88	13
20	Female	6.7	14
36	Female	12.77	12
18	Female	7	12
24	Female	6.5	19
29	Male	13.41	18
27	Male	15.61	17
58	Female	14.26	10
17	Male	7.21	11
31	Female	14.11	10
16	Female	5.13	10
59	Female	10	14
53	Female	6.7	8
46	Male	48.29	15
36	Female	28.53	17
32	Male	17	13
20	Male	6.65	15
30	Female	18.11	13
46	Female	19.12	14
40	Female	13.58	12
51	Female	6.75	13
39	Female	13.73	11
16	Male	6.35	9
48	Male	16.24	20
23	Male	9	14
51	Female	19.8	16
41	Male	10.69	10
31	Male	13.68	12
41	Male	32.35	12
28	Female	8	14
37	Female	24.96	20
46	Male	23.04	14
27	Female	25.93	18
57	Male	19.2	13
60	Male	9.75	11
45	Female	8.79	4
40	Male	17.03	16
42	Male	32.52	18
54	Male	15.66	8
43	Female	14.43	12
56	Male	25.26	13
52	Female	28.16	19
35	Male	15	15
45	Female	14.13	12
45	Female	11.94	11
29	Male	25.5	20
19	Male	6.7	13
40	Female	25	14
48	Male	28.8	13
64	Male	31.15	15
48	Female	14.94	8
21	Female	9.85	14
31	Female	17.4	10
29	Male	27.22	17
40	Male	22	16
31	Female	15.44	13
32	Female	17.28	15
55	Male	23.04	12
52	Male	15.79	10
21	Male	10.71	14
30	Female	34.9	15
51	Male	14.08	14
25	Male	10	16
50	Female	24.96	17
44	Female	15.26	12
22	Male	10.75	15
39	Female	21.22	17
27	Male	9.97	15
52	Male	18.24	8
47	Female	8.75	13
37	Female	8	8
37	Female	14	13
20	Female	12.39	11
48	Male	17.5	4
25	Female	12	13
26	Female	15.2	16
59	Male	27	16
25	Male	8	11
18	Female	6.35	12
61	Male	12.5	13
17	Female	9.69	11
36	Female	23.59	15
20	Female	6.7	15
53	Female	6.25	12
28	Male	10.52	10
31	Female	31.6	14
19	Male	6.51	12
26	Female	9.83	16
46	Male	40.64	17
37	Male	14	10
54	Male	18.94	19
23	Male	7.8	15
30	Male	21.16	18
30	Female	8	13
19	Male	10.75	10
24	Female	14.93	17
42	Female	40	19
52	Female	20.35	12
20	Female	6	15
36	Male	13.61	12
49	Male	30.48	17
44	Female	17.76	18
37	Male	7.63	12
26	Female	12.03	15
48	Female	13	12
24	Male	13.79	13
19	Male	7	10
23	Female	12.29	12
58	Male	18.5	8
48	Female	29.44	17
29	Female	15.91	15
23	Female	7.22	16
50	Male	24.96	16
60	Male	14.84	13
36	Male	17.64	12
43	Female	6.51	16
41	Male	22.68	14
43	Male	28.04	10
25	Female	7	12
42	Female	21.12	19
25	Female	15.84	17
25	Female	17.81	13
47	Male	25.92	17
30	Female	7.61	14
31	Female	17.28	10
36	Female	10.17	12
35	Female	7	12
52	Male	31.2	17
53	Male	31.33	20
28	Female	22.53	12
52	Female	7.5	10
41	Male	14.26	10
59	Female	12	12
44	Male	19.2	17
48	Female	15	11
57	Male	22.23	8
61	Female	30	12
58	Female	8.42	12
34	Male	20	10
48	Male	19.66	10
23	Male	7.9	12
50	Male	37.76	15
53	Male	33.12	20
47	Female	24	9
50	Female	14.07	15
35	Female	11.52	15
19	Male	9.58	13
28	Female	10.45	14
61	Male	10	8
53	Female	19	14
48	Male	16.2	16
35	Male	17.47	14
28	Female	7.1	12
44	Female	15.52	16
53	Female	30.22	11
19	Female	8.62	13
47	Male	39	17
40	Male	24.98	13
33	Female	6.75	12
33	Male	7.5	12
43	Female	10.35	15
25	Female	5.86	11
26	Male	10.92	12
36	Female	10.96	13
30	Female	13.01	9
42	Male	24	12
26	Female	16	16
63	Female	13.71	12
17	Female	6.25	11
43	Male	25.14	16
34	Male	21.33	13
29	Male	18.64	17
48	Male	23.55	13
19	Male	6.7	14
33	Female	13.83	13
45	Male	15	10
39	Male	10.56	12
58	Male	13.23	15
54	Female	16.96	6
59	Female	7	13
28	Male	20.94	16
43	Female	7.2	15
31	Male	12.75	13
65	Female	7.34	11
28	Male	22.4	12
31	Male	17.38	13
31	Male	12.77	12
34	Male	14.38	12
42	Female	26.88	17
34	Female	9	14
18	Female	7.03	12
51	Female	28.64	20
32	Female	8.72	9
56	Male	17.99	12
20	Male	10.4	11
44	Female	6.75	10
48	Female	17.92	12
22	Female	6.7	16
28	Male	13.68	12
36	Female	12.29	9
21	Male	12	14
38	Male	27.69	11
44	Female	3	14
18	Male	6	12
24	Female	25	17
42	Female	11	9
37	Female	17.01	14
19	Female	6	11
47	Female	16	10
36	Male	11.51	13
51	Male	15.81	9
34	Female	27.92	19
51	Male	30	10
54	Female	14.21	10
35	Male	27.14	12
56	Male	30.32	12
45	Male	27.84	12
34	Female	11.94	14
26	Male	12	15
55	Male	28.9	17
42	Male	16.5	12
40	Female	18.16	10
18	Male	7	11
23	Male	14	14
36	Female	20.16	12
52	Male	16.8	10
51	Male	20	10
36	Female	12	15
23	Male	8.76	18
57	Female	8.2	13
34	Female	12.87	12
40	Male	4.89	12
48	Female	15.56	13
29	Female	17.41	16
51	Female	9.72	12
20	Female	6.25	12
35	Male	19.46	12
56	Female	7	11
53	Male	21.14	14
65	Male	23.77	9
47	Male	25	15
19	Female	7	14
29	Male	15.33	20
28	Male	19.95	16
42	Male	12.75	11
42	Male	25.15	16
37	Male	12.07	10
19	Male	9.13	15
37	Female	9.65	13
34	Male	12	12
16	Male	6.5	10
61	Female	12	13
30	Female	8	10
21	Female	9.83	11
35	Female	7.5	0
58	Male	14.37	1
25	Male	6.5	12
40	Male	19.68	10
22	Female	9.5	13
23	Female	6.67	16
39	Male	23.04	17
37	Male	16.8	14
31	Female	15.86	10
54	Male	28.8	8
40	Male	17.6	12
27	Male	10.19	12
59	Male	13.09	6
41	Male	20.64	11
35	Female	12.92	15
50	Male	21.6	17
49	Male	26.4	10
22	Female	6.75	15
31	Female	12.76	12
32	Female	8.5	15
53	Female	16.9	10
30	Male	9.12	13
40	Female	7	13
30	Female	11.5	11
34	Male	17.98	17
33	Male	26.4	14
42	Male	10.3	10
38	Male	16.79	12
54	Female	13.28	12
28	Female	11	15
26	Female	6.7	14
54	Female	9.6	8
27	Female	12.8	12
36	Male	23.47	13
41	Female	11	10
24	Female	9.91	20
17	Male	7	11
61	Female	8.62	16
49	Male	17.98	9
32	Male	18	12
53	Female	19.19	13
44	Female	25.6	12
42	Male	28.8	18
52	Male	24.81	12
23	Female	18.22	15
45	Female	38.4	19
48	Female	7	15
28	Male	17.26	12
37	Female	6.5	11
20	Male	9.5	11
29	Male	12	11
30	Female	11.91	13
37	Male	32.64	18
46	Female	25.44	16
22	Female	13.44	11
16	Male	13.75	9
20	Male	7.2	12
36	Male	26.88	20
27	Male	16.3	12
40	Female	7.06	13
53	Male	14.97	13
52	Female	20.5	16
27	Female	9.94	15
28	Female	7.2	14
61	Male	11.52	20
38	Male	16.32	11
39	Male	10.37	15
49	Female	14.35	14
51	Female	10.56	8
38	Male	15.53	14
17	Female	9.58	11
54	Male	12.95	4
27	Female	8.5	12
18	Male	6.7	13
42	Male	11.07	14
31	Male	10.45	8
24	Female	13.99	14
46	Female	13.17	11
52	Male	17.28	10
44	Male	10.93	14
44	Male	3.84	12
54	Male	8.9	12
18	Female	6.85	12
27	Male	14.45	12
35	Female	14.89	12
33	Male	15.87	15
21	Male	12.11	15
37	Female	26.85	16
38	Male	20.24	14
21	Female	11.75	12
38	Male	20.64	15
39	Male	11.2	16
29	Male	18	15
29	Male	15.36	19
33	Female	12.29	12
37	Female	7.2	8
18	Male	6	11
33	Female	13.04	12
30	Male	14.85	10
36	Female	8.39	11
36	Male	24	18
44	Female	10.36	14
46	Female	18.21	10
22	Male	15.36	12
33	Male	17.62	12
55	Female	15.39	15
28	Female	17.92	17
50	Female	7	12
31	Male	15	13
31	Female	8.98	14
21	Male	6.85	14
47	Male	15.92	12
41	Male	23.04	17
16	Male	7	11
26	Male	10	19
40	Male	15.71	12
22	Female	8.98	13
18	Female	7.07	10
23	Male	12	17
36	Male	10	10
45	Male	30.72	17
21	Male	11.19	11
25	Male	14.4	13
33	Male	18.24	13
25	Female	10.95	10
26	Male	16.05	10
61	Female	14.86	8
37	Female	30.72	14
41	Female	18.24	13
19	Female	7	12
30	Male	13.3	13
63	Male	30	12
36	Female	9	12
20	Female	19.76	15
41	Female	14.39	12
60	Female	6	9
48	Male	18.72	17
30	Male	17	12
24	Male	17.91	12
30	Male	19.92	13
34	Female	15.36	13
31	Female	7.91	12
28	Male	7.92	16
40	Female	15.36	14
53	Female	8.12	0
48	Female	24	14
43	Female	15.17	20
25	Male	13.59	14
50	Female	9.9	13
24	Male	9.81	12
38	Male	21.82	12
31	Female	24.96	17
46	Female	6.77	10
53	Male	18.92	13
40	Male	27.66	14
25	Female	10.46	15
37	Female	17.91	14
51	Female	21.6	17
40	Female	6.75	12
31	Male	13.6	11
22	Male	6	15
49	Male	36	11
36	Female	17.41	13
31	Male	11.17	15
18	Male	7.3	11
34	Female	12.78	15
32	Male	7	12
36	Female	28.56	20
59	Female	9.5	12
20	Male	6.9	12
17	Female	12.84	11
50	Male	16.8	11
47	Female	10.2	10
41	Male	16.58	12
60	Male	12.55	8
21	Female	4.98	15
27	Male	14.97	16
31	Male	3.43	12
16	Female	4.2	2
36	Male	18.57	12
35	Male	21.6	10
33	Male	17.4	15
29	Male	21.84	20
38	Male	18.03	15
36	Male	12.46	12
36	Female	16.1	12
39	Female	21.18	17
39	Male	38.4	12
26	Male	12.22	11
28	Male	9.72	15
34	Male	21.57	11
36	Female	14.81	14
18	Male	6.81	13
43	Male	17.67	12
38	Male	32.6	20
46	Female	12.8	11
18	Male	8.26	11
32	Female	16.46	12
26	Male	28.54	17
25	Female	7	18
47	Female	29.54	11
25	Male	12.07	17
43	Female	15.67	12
22	Female	8	11
45	Female	7.25	9
30	Female	11.93	12
17	Male	6.45	12
40	Male	32.47	17
59	Female	8	15
57	Female	7	12
40	Female	32.16	17
37	Male	19.4	17
32	Male	8.9	9
20	Female	7	14
27	Male	9.5	13
24	Male	10.14	17
34	Female	8.5	12
51	Female	7.5	6
23	Female	8.37	17
42	Male	15.06	11
33	Male	5.58	10
54	Female	14.6	11
64	Female	10	11
21	Female	7.11	14
41	Male	12.8	13
48	Female	6.99	13
36	Female	13.04	18
18	Female	8.57	13
57	Female	18.21	16
39	Female	14.33	11
22	Female	6.47	15
24	Male	11.5	13
32	Female	17.35	11
55	Female	14.85	8
32	Male	22.56	17
19	Female	6.84	14
58	Male	9.43	14
38	Female	14.44	17
25	Male	15.33	13
34	Female	12.64	10
45	Male	12.8	20
39	Female	12.48	11
20	Male	10.81	14
42	Male	30.72	15
16	Male	17.5	11
49	Female	10	12
35	Female	21.39	20
25	Male	20.4	20
26	Male	15.5	14
42	Male	19.68	16
32	Male	12.1	10
39	Female	15	13
24	Male	8	12
31	Male	10.46	17
48	Female	26.18	20
32	Female	11.76	17
62	Male	18.99	13
38	Female	8	15
18	Female	7	12
39	Female	23.33	12
45	Male	12	14
37	Male	24.44	13
53	Male	28.8	14
17	Female	7	3
25	Male	8	6
51	Male	23.87	12
48	Female	12.8	12
25	Male	20.16	20
39	Female	13.31	12
54	Male	8.55	8
48	Male	26.4	12
58	Male	18.24	8
17	Female	6.25	11
43	Female	31	16
25	Male	9	16
49	Female	17.4	13
25	Male	9.6	10
55	Female	6.76	11
38	Female	32.64	15
35	Male	24.32	20
39	Male	38.4	10
49	Male	40.32	18
23	Male	7.5	14
31	Male	4.95	14
32	Female	19.76	14
28	Female	8	10
42	Female	6.85	10
34	Female	18.25	20
36	Male	38.4	17
30	Male	32.64	17
45	Female	19.2	16
39	Male	15.73	18
46	Male	9.01	13
41	Male	17	10
50	Male	12.59	10
53	Male	24.48	18
37	Female	8	13
51	Male	28.8	14
26	Male	23.91	12
42	Male	21.6	10
41	Male	17.16	15
30	Male	11.25	16
45	Female	6.75	15
30	Male	13.67	12
33	Male	19.08	16
43	Male	16.9	12
33	Male	20.21	15
55	Female	9.95	12
25	Female	7	17
40	Female	27.56	14
32	Female	15.84	14
38	Female	20.68	12
23	Female	19.7	12
35	Female	10.09	12
24	Male	8.63	17
40	Male	17.52	12
28	Male	17.22	15
30	Male	13.5	10
53	Female	14.15	11
41	Female	18	15
55	Male	25.95	11
26	Male	13	12
38	Female	24	17
16	Female	6	11
31	Male	32.4	16
33	Male	17	11
50	Male	18.46	12
31	Female	10.63	12
51	Male	18.24	8
18	Female	7.79	13
48	Male	35.96	20
51	Male	16.67	8
32	Female	16.26	14
29	Female	10	14
29	Male	11.06	10
53	Male	15	6
23	Female	7.88	14
55	Male	49.44	20
31	Female	7	16
61	Male	17.28	12
33	Male	27.44	16
29	Female	10.28	13
38	Male	11	11
57	Female	9.12	12
22	Male	14.93	15
18	Male	4.72	11
35	Male	12.5	10
57	Female	10.26	10
41	Female	17.6	13
26	Male	16	10
49	Female	35.84	20
59	Female	8.51	10
57	Male	19.2	11
49	Male	16	14
31	Male	15.75	15
43	Female	37.6	16
46	Male	22	12
51	Female	10.24	12
42	Male	8.32	13
35	Male	26.58	13
20	Female	12.84	9
39	Female	10.61	12
45	Female	15.66	17
47	Male	18	11
53	Female	18.56	18
64	Female	12.8	11
24	Male	13.44	12
32	Male	6.95	12
24	Male	7.18	13
40	Female	30.24	19
42	Male	18	20
23	Male	3.24	14
33	Female	13.71	11
19	Female	7.84	12
33	Male	21.6	11
35	Male	8.78	12
31	Male	18.24	12
34	Male	31.99	16
60	Male	9	9
45	Male	23.81	17
24	Female	12.19	12
37	Male	26.4	12
46	Female	10.97	12
33	Male	17.5	12
47	Male	31.04	14
19	Male	6.7	14
40	Female	10.78	12
34	Female	7.68	12
32	Male	15.22	13
46	Male	44.95	17
18	Female	8.74	14
18	Female	6.51	12
38	Male	13.5	10
37	Male	20	14
26	Female	8.6	18
32	Female	22.77	18
45	Male	31.49	16
36	Male	20	14
43	Male	18.64	10
51	Male	15	12
63	Male	21.6	7
39	Female	23.04	14
47	Male	26.88	19
35	Female	8.64	12
49	Female	32.31	8
35	Female	18	14
50	Male	24.04	11
28	Female	6.9	16
36	Male	19.2	13
22	Male	6.35	15
29	Female	20.67	19
58	Female	23.62	18
25	Male	14.4	17
20	Male	6.35	12
28	Female	36.27	13
26	Female	7	13
40	Male	18.1	13
45	Male	17.5	10
47	Male	11.94	8
20	Female	7	12
30	Female	3.23	12
26	Male	19.98	17
38	Female	16	15
45	Male	23.93	16
21	Male	8.89	16
25	Female	12.35	13
48	Male	17.48	10
46	Male	16.83	16
24	Female	13.55	17
33	Male	6.21	13
42	Female	11.1	12
46	Female	9.9	14
40	Female	12.96	12
20	Female	7.3	13
31	Male	13.31	13
45	Female	12.62	12
47	Female	35.84	20
27	Male	17	12
51	Male	20	16
17	Male	7.64	11
54	Female	12.17	15
29	Female	17.63	14
42	Female	26.11	16
31	Female	14.5	16
20	Male	7.55	11
24	Male	8	16
21	Male	5.8	16
28	Female	10.79	12
55	Female	13.1	9
38	Male	20.4	11
28	Male	20.87	18
38	Female	16	13
26	Male	15.53	18
53	Male	41.85	20
32	Male	9.59	16
24	Male	11.5	10
50	Male	13.5	10
18	Male	6.7	12
46	Male	11.86	9
52	Male	32.64	14
53	Male	16.48	13
30	Female	9.85	12
62	Male	36.57	20
33	Male	8.57	12
53	Female	10	14
44	Male	34.25	17
59	Female	25.6	20
44	Female	22.56	17
36	Female	19.04	13
45	Male	21.53	12
33	Female	7.4	20
39	Female	19.2	12
29	Male	13.45	14
36	Female	9.92	14
41	Female	7.61	11
43	Female	13.62	12
52	Female	9.64	12
51	Male	11.95	10
57	Female	12.73	8
26	Male	10.95	12
42	Male	20	9
38	Male	19.2	9
50	Female	23.04	10
32	Male	16.8	11
45	Male	18.92	14
30	Male	20.92	14
31	Female	20.58	19
30	Female	12.57	15
24	Male	7	16
53	Female	15.87	12
26	Female	11.21	17
47	Female	19.18	11
46	Female	29.28	16
42	Female	6.5	12
38	Female	14.4	14
19	Female	6.7	12
26	Female	7.77	12
50	Female	23.31	16
16	Male	6.7	10
33	Female	9.33	12
54	Male	7.46	9
54	Female	16.46	16
29	Female	8.54	12
47	Male	32	11
50	Male	18	12
43	Male	15	12
39	Male	14.77	14
17	Female	7.04	11
52	Male	14	8
34	Female	25.77	12
31	Male	21.88	12
32	Female	11.6	12
36	Male	20.09	12
32	Female	25.2	19
32	Female	20.83	15
42	Male	22.5	20
34	Female	20.64	18
38	Female	7.25	17
43	Male	20	12
28	Male	23.44	14
54	Female	17.92	17
34	Female	12.61	12
56	Male	18.75	12
49	Female	10.45	2
52	Female	6.69	13
20	Male	38.44	14
57	Female	15.91	15
18	Male	4.8	13
20	Male	7.2	13
17	Male	9.44	11
32	Female	36.7	16
28	Female	14.85	13
29	Male	13.01	11
47	Male	28.32	20
29	Female	22.59	15
46	Female	13.4	12
44	Male	19.2	17
39	Male	14.85	12
23	Female	7.75	17
48	Male	32.16	13
30	Female	8	13
25	Male	10	9
34	Male	11.9	15
41	Male	33.6	13
21	Male	9	16
34	Female	4.84	10
32	Male	24	13
47	Female	16.66	15
36	Female	40.35	11
30	Female	29.14	15
19	Female	7.99	12
23	Male	7	12
42	Male	17.9	9
50	Female	13.81	8
20	Female	8.01	9
48	Female	8	13
42	Female	20.57	12
52	Female	7	12
26	Female	14.97	15
25	Female	6.3	17
21	Female	7	12
45	Male	10	20
48	Male	18	12
53	Male	18.91	14
22	Male	9.5	12
22	Male	7	15
43	Female	10.08	12
31	Female	10	14
25	Female	7.3	14
30	Male	17.44	12
25	Female	10.36	16
30	Male	18.53	14
42	Male	7.45	10
39	Female	13.71	12
26	Female	14.51	14
51	Male	20.16	16
20	Female	6.67	13
37	Female	12.1	15
38	Female	6.97	13
31	Male	18.92	14
50	Male	26.36	17
21	Female	5.8	15
30	Female	9.6	14
25	Male	15.7	15
53	Male	19.6	11
34	Female	20.26	13
38	Female	36.67	12
35	Female	22.18	19
25	Female	9.5	17
46	Male	15.36	20
27	Female	6.97	15
36	Female	10.16	12
33	Female	10.16	12
34	Female	7.5	12
30	Female	7	12
46	Male	24.48	12
46	Female	9.63	10
47	Female	6.72	14
36	Male	18.68	14
26	Female	13.5	13
22	Female	9.37	15
28	Male	7.37	18
28	Male	11.58	14
24	Female	7.5	10
36	Male	10	15
61	Male	19.93	11
30	Male	12.12	11
54	Female	11.52	12
18	Male	6.25	12
42	Male	16.32	13
56	Male	20	15
18	Male	4.26	12
22	Male	8.26	12
21	Male	7.62	12
35	Male	9	12
29	Female	14.63	13
30	Male	34.56	17
24	Male	10.63	14
49	Female	9.69	8
25	Male	8	14
19	Male	7	12
48	Male	21.45	15
49	Male	20	13
41	Female	12.14	12
48	Male	33.28	18
32	Male	16	12
46	Male	12	9
46	Male	14.83	15
51	Male	20.01	13
29	Female	20	20
34	Female	13.31	13
58	Male	13	10
49	Female	13.09	16
26	Female	12.36	14
46	Female	9.38	14
49	Female	18.61	12
44	Male	22.5	6
20	Female	23.42	13
39	Male	19.2	16
27	Male	16.2	9
45	Female	7.5	10
39	Male	21.42	12
23	Male	7.2	13
43	Male	20.8	12
43	Male	23.04	15
31	Male	17.5	12
45	Male	18.64	14
24	Male	19.58	16
43	Female	14.87	15
51	Male	17.07	12
43	Male	10.23	12
30	Male	30.72	12
18	Male	6.86	12
26	Male	16.14	12
44	Female	23.07	17
43	Female	14	15
38	Male	28.06	13
25	Male	14.15	12
35	Female	42.5	11
19	Male	6.31	14
37	Male	16.8	14
29	Female	6.82	16
56	Male	25.44	14
39	Female	26.11	17
22	Female	5.27	17
32	Female	23.16	14
26	Female	14	10
46	Male	18	16
28	Female	18	18
51	Female	9.04	14
19	Female	5.77	14
64	Female	23	17
30	Female	26.4	19
33	Male	9.5	12
56	Female	30.69	14
30	Male	22.33	11
31	Male	18.46	12
37	Male	25.8	10
36	Female	19.62	12
23	Male	6.75	12
22	Female	8.49	12
43	Female	10.36	12
44	Female	9.3	13
33	Male	15	13
60	Male	15.36	10
39	Female	11	11
40	Male	13.51	15
20	Male	7.02	14
24	Female	12.5	15
42	Female	10.72	10
16	Female	6.25	10
35	Male	9	12
54	Female	30.82	16
29	Female	18.96	17
39	Female	14.4	12
36	Male	26.99	10
53	Male	15	4
45	Male	22.08	20
19	Male	9	12
55	Female	12.8	17
36	Female	13.44	14
59	Female	10.45	14
32	Male	10.75	12
32	Male	14.13	13
32	Female	14.75	12
38	Female	6.7	8
36	Female	14.85	15
33	Male	24.9	16
33	Male	12.85	12
25	Female	15	13
28	Female	8	14
54	Female	19	9
35	Male	16	12
20	Male	7	13
30	Male	24	18
48	Female	12.47	13
23	Female	6.94	17
57	Female	8.5	13
42	Male	22.53	16
32	Male	25.6	13
60	Female	9.54	14
26	Female	4.53	14
33	Male	14.4	16
57	Female	31.2	14
33	Female	15.05	15
25	Male	15.36	18
43	Female	16	13
21	Male	3.9	14
42	Female	8.17	12
35	Female	25.7	16
17	Male	9.33	11
24	Male	17.3	12
28	Female	3.84	14
25	Male	13.79	14
52	Male	12	9
46	Female	10.32	8
16	Female	6.9	10
22	Female	13.4	17
23	Male	12	12
53	Female	21.5	14
21	Male	5.64	12
54	Female	7	14
45	Female	9.5	12
40	Male	24	12
20	Female	6.87	13
59	Male	28.76	13
21	Female	7.5	12
20	Female	9.9	12
44	Female	6.68	10
58	Female	15.36	12
47	Male	25	13
34	Male	23.1	18
42	Female	19.2	20
36	Male	14	12
50	Female	18.64	12
40	Male	25	12
35	Male	16.25	9
35	Female	18.12	15
31	Male	25.34	16
39	Female	14.85	12
63	Male	14.63	18
21	Male	9	14
20	Female	6.5	15
18	Female	6.75	13
32	Female	11.17	14
17	Female	6.5	10
41	Female	42.88	20
39	Male	16.3	12
35	Male	18.2	12
26	Male	15.33	20
38	Female	21.88	12
42	Female	21.5	11
44	Female	17.01	12
35	Female	14.51	14
35	Male	22.4	12
23	Female	11.86	16
25	Female	7.5	12
35	Female	20	16
28	Female	10.08	11
48	Female	10	13
45	Male	18.02	14
34	Female	16.58	12
17	Male	7.18	11
54	Male	14.95	10
30	Male	19.18	18
20	Male	8	12
32	Female	17.72	12
20	Male	11.44	12
50	Female	7	13
56	Female	21.94	20
28	Male	8.14	8
39	Female	12	13
25	Male	23.5	16
23	Male	11.85	11
45	Male	24.4	18
44	Female	14.61	12
27	Female	8.65	12
40	Female	13.82	11
41	Female	10.96	10
24	Female	9.5	9
45	Female	16.53	12
37	Male	11.11	12
49	Female	24.93	16
38	Male	26.4	15
35	Male	32.91	14
52	Female	7.35	10
29	Female	11.5	11
22	Female	15	18
52	Male	22.65	8
57	Male	28.8	14
40	Female	6.89	16
25	Male	15.83	17
58	Male	24.54	8
34	Female	22.02	13
61	Male	22.02	12
48	Male	9	14
35	Male	9.85	12
18	Female	9.06	12
28	Male	13.33	12
30	Male	23.04	13
20	Male	9.49	13
60	Female	24	17
52	Male	35.66	17
23	Female	12	16
56	Male	16.8	8
17	Female	7.1	11
22	Female	6.05	15
32	Female	12	10
42	Female	38.4	15
41	Female	24.59	14
37	Female	24.44	13
22	Male	10.84	16
23	Male	12.5	11
58	Female	16.46	12
44	Male	18.24	14
43	Female	12.53	12
60	Female	7.67	8
61	Female	13.2	12
63	Female	10.24	10
49	Male	21	13
29	Female	8.7	10
52	Female	17.23	12
20	Male	7.75	13
40	Male	24.06	17
18	Female	7.62	12
17	Male	6.7	11
41	Male	30.17	15
32	Male	29.6	14
17	Male	3.82	11
17	Female	7.63	11
