 fem     ment    phd     mar     kid5    art 
 823    1   34  3.36    0   0   1
 824    1   0   3.21    0   0   2
 825    1   10  2   0   0   1
 826    1   2   3.21    1   2   2
 827    1   3   2.58    1   2   2
 828    1   3   2.58    1   0   0
 829    1   1   2.83    0   0   0
 830    1   6   3.19    0   0   1
 831    1   3   3.47    0   0   1
 832    1   23  4.62    1   0   2
 833    1   13  4.25    1   0   4
 834    1   5   1.86    1   0   2
 835    1   9   4.29    1   1   0
 836    1   9   3.36    0   0   0
 837    1   10  1.8 1   0   2
 838    1   0   1.66    0   0   1
 839    1   6   2.86    0   0   0
 840    1   14  4.62    0   0   2
 841    1   3   4.29    0   0   0
 842    1   5   2.36    1   0   4
 843    1   11  1.81    1   0   1
 844    1   32  3.59    1   0   1
 845    1   10  1.76    0   0   0
 846    1   5   2   1   0   1
 847    1   14  3.59    0   0   5
 848    1   6   2.26    1   0   3
 849    1   4   2.26    0   0   1
 850    1   4   1.76    1   1   1
 851    1   1   3.59    1   0   1
 852    1   1   3.59    1   0   0
 853    1   5   2.83    1   1   1
 854    1   2   2.58    0   0   1
 855    1   18  4.62    1   0   1
 856    1   15  2.32    0   0   1
 857    1   0   2.39    1   0   0
 858    1   22  2.96    1   0   3
 859    1   11  2.12    0   0   0
 860    1   18  4.62    1   0   1
 861    1   3   2.25    1   0   1
 862    1   8   1.76    1   0   1
 863    1   12  4.54    0   0   6
 864    1   10  3.69    1   1   2
 865    1   2   1.25    0   0   0
 866    1   5   1.25    1   0   1
 867    1   4   3.19    1   0   0
 868    1   0   2.58    1   2   0
 869    1   7   2   1   1   2
 870    1   1   2.76    0   0   0
 871    1   4   2.54    0   0   2
 872    1   0   3.19    0   0   0
 873    1   9   3.09    1   2   1
 874    1   4   3.19    0   0   2
 875    1   0   3.09    0   0   0
 876    1   8   2.26    0   0   2
 877    1   9   2.26    1   1   1
 878    1   8   3.36    1   0   2
 879    1   9   3.15    1   0   1
 880    1   4   4.54    1   0   0
 881    1   0   3.59    1   0   2
 882    1   3   3.47    1   0   1
 883    1   2   2.86    1   1   1
 884    1   6   2.26    1   0   0
 885    1   4   3.47    1   1   2
 886    1   0   2.76    1   0   0
 887    1   2   3.59    1   2   0
 888    1   13  3.75    0   0   5
 889    1   2   2.58    1   2   1
 890    1   2   3.59    1   1   2
 891    1   16  1.89    1   2   3
 892    1   9   3.15    0   0   7
 893    1   12  2.87    0   0   5
 894    1   1   2.12    1   2   0
 895    1   4   4.62    1   0   1
 896    1   0   2.39    0   0   0
 897    1   11  2.12    0   0   0
 898    1   5   1.81    1   0   0
 899    1   8   2.32    0   0   4
 900    1   15  2.39    0   0   0
 901    1   6   3.75    1   0   3
 902    1   0   2   0   0   0
 903    1   14  3.59    1   1   0
 904    1   5   4.29    0   0   2
 905    1   0   2.58    1   0   0
 906    1   5   4.62    1   0   0
 907    1   3   1.5 0   0   0
 908    1   4   3.75    1   0   2
 909    1   4   3.75    1   2   0
 910    1   0   1.75    1   0   1
 911    1   0   2.12    1   0   1
 912    1   5   3.75    0   0   2
 913    1   0   0.76    0   0   0
 914    1   7   2.25    0   0   1
 915    1   3   3.19    0   0   1
